@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE FFT_intensity NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
19269, -11170, 30439, 3496, 6.73549265731, 75769.5863174, talking
19269, -13860, 33129, 3892, 6.84330220958, 81183.7214909, talking
19716, -38057, 57773, 3868, 6.83778630618, 86513.5388615, talking
25750, -38057, 63807, 3803, 6.86354305661, 88259.1066629, talking
26614, -10498, 37112, 3768, 6.84288439391, 84945.8319542, talking
26614, -10946, 37560, 3778, 6.7381974527, 83140.8137038, talking
20485, -10946, 31431, 3901, 6.9230400568, 83864.07586, talking
23317, -9682, 32999, 3993, 6.9815997242, 85639.6642728, talking
23317, -10819, 34136, 3789, 6.87245903323, 78262.1625938, talking
19733, -11571, 31304, 3720, 6.91031922773, 78175.3988787, talking
20533, -12899, 33432, 3983, 7.04085095621, 81760.9767146, talking
28775, -12899, 41674, 4017, 7.07854256668, 82253.3944901, talking
28775, -11667, 40442, 4230, 7.16514603136, 87049.8448301, talking
23685, -17508, 41193, 3855, 7.17621182226, 84354.849337, talking
16307, -17508, 33815, 3577, 7.08842187499, 78030.8055892, talking
25478, -15811, 41289, 3924, 6.7888452939, 87649.9310922, talking
25478, -15811, 41289, 3847, 6.58790364053, 84126.0090431, talking
20549, -8562, 29111, 3810, 6.89468653462, 82225.0530692, talking
33144, -10050, 43194, 4041, 6.91431922773, 87235.7686814, talking
33144, -12210, 45354, 4079, 6.90100558713, 85632.8116747, talking
56829, -12210, 69039, 4119, 6.86950395659, 94372.1347283, talking
56829, -17460, 74289, 3932, 6.61190364053, 93427.4845749, talking
17285, -17460, 34745, 3790, 6.67357154854, 81035.7580481, talking
18036, -15364, 33400, 3777, 6.73917790269, 78670.1975466, talking
29079, -10547, 39626, 3760, 6.76215533796, 80340.8077996, talking
29079, -11667, 40746, 3905, 6.75839170327, 85278.2854577, talking
22470, -25030, 47500, 3899, 6.7131333223, 85840.8488001, talking
22470, -25030, 47500, 3947, 6.76280619388, 87421.1019464, talking
21557, -10915, 32472, 4002, 6.77516979142, 86773.8542352, talking
21557, -12467, 34024, 3943, 6.72280678423, 84430.495699, talking
17189, -14612, 31801, 3752, 6.54082634554, 83400.1295132, talking
20789, -18628, 39417, 3999, 6.51206515511, 90413.4436272, talking
20789, -18628, 39417, 4028, 6.51010751899, 86636.2129685, talking
19461, -10851, 30312, 3606, 6.50806515511, 74823.9733387, talking
22965, -17588, 40553, 3904, 6.58849427979, 83461.3711172, talking
22965, -17588, 40553, 4077, 6.47726795487, 89443.6474836, talking
19685, -18420, 38105, 4060, 6.5027440445, 83335.9293339, talking
19685, -18420, 38105, 4026, 6.6190995775, 80850.7616652, talking
28246, -12483, 40729, 3592, 6.56406515511, 76988.4828655, talking
28246, -8146, 36392, 3402, 6.43921841928, 74043.0857883, talking
27879, -8946, 36825, 3644, 6.60408002749, 77961.751853, talking
27879, -10002, 37881, 3534, 6.48625544883, 79043.7275018, talking
17908, -12467, 30375, 3269, 6.41068909426, 69754.2286318, talking
18564, -13187, 31751, 3523, 6.60443296555, 75370.3786222, talking
18564, -13187, 31751, 3533, 6.50772449449, 74369.8596065, talking
25382, -10034, 35416, 3575, 6.56094540476, 75307.685913, talking
25382, -11058, 36440, 3768, 6.76239170327, 79859.5348896, talking
18116, -14467, 32583, 3775, 6.66153174026, 76250.2683638, talking
18116, -14467, 32583, 3890, 6.61872740336, 78509.2587321, talking
19796, -17908, 37704, 3868, 6.69978708844, 80781.667299, talking
22181, -17908, 40089, 3452, 6.64443296555, 78040.4152891, talking
22181, -11747, 33928, 3406, 6.55155070247, 76253.6988585, talking
19172, -9154, 28326, 3649, 6.58921762836, 78657.1286918, talking
29431, -8402, 37833, 3627, 6.60941341554, 84652.6006201, talking
29431, -9490, 38921, 3842, 6.75726310956, 85958.4892547, talking
30983, -8210, 39193, 4283, 8.12821938921, 101730.923103, chewing
23142, -14355, 37497, 4325, 7.37502153986, 91893.4837878, chewing
39641, -14355, 53996, 4598, 8.26909855958, 115170.500783, chewing
39641, -8659, 48300, 4279, 8.02125495965, 111892.908767, chewing
21862, -9219, 31081, 4003, 7.1668555373, 88017.2504017, chewing
35257, -9219, 44476, 4512, 8.23715779976, 106135.378529, chewing
35257, -11507, 46764, 4762, 8.06970500447, 110572.097643, chewing
29063, -11507, 40570, 4329, 7.45211302386, 96477.5896566, chewing
40489, -10146, 50635, 4234, 8.40001313659, 110333.886891, chewing
40489, -9155, 49644, 4087, 8.26603294493, 111165.407265, chewing
18436, -11747, 30183, 3763, 7.1945876667, 85865.1774712, chewing
35400, -11747, 47147, 4259, 8.09219522946, 109089.629164, chewing
35400, -12499, 47899, 4491, 8.21074665942, 107595.815108, chewing
28295, -12499, 40794, 4135, 7.04078933847, 85863.9533083, chewing
32535, -14291, 46826, 4445, 7.86791260607, 105739.067994, chewing
32535, -14291, 46826, 4348, 8.29747840598, 103639.527087, chewing
18980, -14243, 33223, 4059, 7.53050203054, 87600.4825126, chewing
42762, -7890, 50652, 4275, 8.23560516647, 108275.792535, chewing
42762, -12082, 54844, 4419, 8.38901048706, 109550.018386, chewing
56750, -12082, 68832, 4492, 7.96466511228, 145068.73293, chewing
56750, -6865, 63615, 4526, 8.4947749606, 129707.560648, chewing
41594, -10098, 51692, 4454, 8.14474871422, 125319.32035, chewing
46491, -10098, 56589, 4783, 8.26342877897, 138869.207516, chewing
46491, -18708, 65199, 4800, 8.65205951844, 130706.72538, chewing
36824, -18708, 55532, 4313, 7.67042764684, 117947.436082, chewing
44698, -10866, 55564, 4626, 7.92629553445, 136964.548512, chewing
44698, -10195, 54893, 4919, 8.76432617276, 127589.847101, chewing
