@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE FFT_intensity NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
30280, -11746, 42026, 4255, 8.71228182646, 141101.648393, chewing
43179, -12467, 55646, 4085, 8.57818328425, 146309.627444, chewing
43179, -12467, 55646, 4052, 8.91820254281, 142883.518132, chewing
27751, -14627, 42378, 4084, 8.93441678889, 131300.988175, chewing
46267, -14627, 60894, 3987, 8.94809914974, 148020.123587, chewing
62287, -13763, 76050, 4390, 9.11336580927, 185041.310921, chewing
62287, -13763, 76050, 4747, 9.30694086979, 198511.780176, chewing
54173, -10243, 64416, 4551, 9.32668163632, 183851.950325, chewing
50748, -10243, 60991, 4425, 8.90132553622, 176401.564521, chewing
48523, -8706, 57229, 4576, 8.68236134976, 158189.134013, chewing
48843, -8706, 57549, 4498, 9.12252121469, 178050.653296, chewing
48843, -7938, 56781, 3939, 8.97384080393, 150677.989554, chewing
50044, -7938, 57982, 3923, 8.8282577059, 145541.719279, chewing
56653, -6210, 62863, 4311, 9.45565995861, 168881.641749, chewing
56653, -6529, 63182, 4451, 9.50628508093, 172554.427479, chewing
47163, -9858, 57021, 4524, 8.99410445458, 180147.965164, chewing
49052, -9858, 58910, 4178, 8.69823410523, 157229.988081, chewing
49052, -11187, 60239, 4281, 9.13550166468, 174890.760409, chewing
43322, -11187, 54509, 4477, 9.13878587719, 160325.854403, chewing
33305, -15987, 49292, 4456, 8.74924677665, 153491.641736, chewing
42314, -15987, 58301, 4534, 8.7113834657, 167331.110125, chewing
42314, -12851, 55165, 4335, 8.81443478932, 154253.473878, chewing
43578, -10595, 54173, 4488, 9.07980220323, 159579.091588, chewing
43578, -11043, 54621, 4329, 8.56646361392, 152451.362501, chewing
24021, -11043, 35064, 4060, 7.52966698461, 118926.931029, chewing
59582, -59550, 119132, 4563, 8.60470698651, 188944.448099, chewing
59582, -59550, 119132, 4688, 9.4454319422, 190018.901106, chewing
45883, -47643, 93526, 4337, 9.05434779312, 166969.162931, chewing
47772, -47643, 95415, 4403, 9.00430457206, 167975.20386, chewing
54077, -11251, 65328, 4587, 9.33786802666, 178921.680797, chewing
54077, -11251, 65328, 4364, 9.0058555523, 168847.988882, chewing
42282, -6466, 48748, 4326, 9.04481984507, 154254.050109, chewing
55613, -10194, 65807, 4567, 9.50553019342, 177743.019157, chewing
55613, -20565, 76178, 4449, 9.16282175323, 174023.742769, chewing
52653, -20565, 73218, 4369, 8.94761422958, 159822.263014, chewing
52653, -14531, 67184, 4540, 9.24761848111, 175746.245072, chewing
37577, -11811, 49388, 4348, 8.6481225188, 147703.480381, chewing
39737, -16596, 56333, 4087, 8.44680289336, 142665.083483, chewing
39737, -16596, 56333, 4171, 8.90577617302, 155550.368438, chewing
38826, -11986, 50812, 4322, 8.81632092648, 155175.062755, chewing
35784, -11986, 47770, 4605, 8.69455990178, 146992.217008, chewing
41130, -9634, 50764, 4617, 8.97297496778, 163182.8637, chewing
41130, -18004, 59134, 4301, 8.94663200235, 161153.400428, chewing
36744, -18004, 54748, 4165, 8.60756736224, 144061.687059, chewing
36136, -10627, 46763, 4380, 8.78010335532, 153279.883432, chewing
41562, -11778, 53340, 4284, 8.9942383914, 164155.534975, chewing
51516, -11778, 63294, 4331, 9.15342334689, 174266.224038, chewing
51516, -11059, 62575, 4375, 9.31399233462, 171775.889628, chewing
52812, -9298, 62110, 4302, 9.27505254638, 172464.497226, chewing
52812, -19364, 72176, 4805, 9.14714170775, 170737.029975, chewing
48204, -19364, 67568, 4784, 9.1389336866, 171961.444582, chewing
48604, -9010, 57614, 4559, 9.29960336416, 167132.062691, chewing
48604, -9010, 57614, 4590, 8.99675417177, 181518.170334, chewing
55101, -8850, 63951, 4412, 8.83114760999, 159674.570568, chewing
55101, -7138, 62239, 4259, 9.173434663, 179976.170249, chewing
46364, -14851, 61215, 3848, 8.55879641968, 149767.804279, chewing
33784, -14851, 48635, 3995, 8.45804438927, 133828.959147, chewing
33784, -27655, 61439, 4447, 8.58617733115, 148210.057254, chewing
39001, -27655, 66656, 4458, 8.59385221602, 150785.054631, chewing
39001, -6978, 45979, 4500, 9.06317421675, 156580.52512, chewing
37610, -12115, 49725, 4266, 8.298944545, 145718.849516, chewing
42890, -12115, 55005, 4366, 8.27131346421, 150362.704759, chewing
45371, -13076, 58447, 4460, 8.73917582379, 164150.324626, chewing
45371, -16756, 62127, 4227, 8.40651141867, 149651.515402, chewing
33465, -16756, 50221, 4307, 8.71082684467, 148585.515914, chewing
43258, -13411, 56669, 4261, 8.93669636393, 175180.848707, chewing
49964, -15572, 65536, 4211, 8.98524987643, 161281.808887, chewing
49964, -15988, 65952, 4631, 9.30854591338, 185413.749488, chewing
47404, -15988, 63392, 4818, 9.4341868297, 179102.695554, chewing
45467, -14883, 60350, 4548, 9.19967103276, 175631.682276, chewing
38745, -14883, 53628, 4151, 8.85075662301, 145884.677552, chewing
43307, -9074, 52381, 4101, 9.03158551772, 156392.343391, chewing
43307, -9731, 53038, 4340, 9.18635206904, 170432.48962, chewing
40633, -9731, 50364, 4199, 8.90384264688, 145160.185896, chewing
45515, -7073, 52588, 4035, 9.0702220961, 148745.225548, chewing
