@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {talking, chewing, swallow}

@DATA
7393, 5793, 1600, 19, 5.9756252395, chewing
7345, 5793, 1552, 24, 5.76056676593, chewing
7345, 6097, 1248, 22, 5.74269821629, chewing
8882, 6017, 2865, 28, 5.69871150077, chewing
10050, 6017, 4033, 39, 6.83058038687, chewing
10050, 6177, 3873, 29, 6.76253185725, chewing
7089, 6097, 992, 20, 5.40183409845, chewing
7681, 6097, 1584, 24, 5.83163625554, chewing
7681, 6049, 1632, 22, 6.29820671147, chewing
8722, 6001, 2721, 26, 6.42220922561, chewing
9106, 6001, 3105, 33, 7.0374074348, chewing
9106, 6129, 2977, 23, 6.72463112306, chewing
7553, 6129, 1424, 23, 6.01161786839, chewing
7553, 5953, 1600, 27, 6.14570392339, chewing
9250, 5921, 3329, 32, 6.14914426686, chewing
9474, 5921, 3553, 38, 6.680530311, chewing
9474, 6369, 3105, 27, 6.70443796066, chewing
7281, 6177, 1104, 17, 5.37795482642, chewing
6705, 6177, 528, 19, 4.8885015608, chewing
6881, 6081, 800, 22, 5.24821628018, chewing
8242, 6065, 2177, 26, 5.83858434453, chewing
8242, 6065, 2177, 30, 6.246804134, chewing
8226, 6097, 2129, 25, 6.51068371307, chewing
6913, 5921, 992, 20, 5.68392718666, chewing
7345, 4945, 2400, 35, 5.91584929404, chewing
7345, 4945, 2400, 30, 6.5812903112, chewing
8338, 5265, 3073, 32, 6.61318698501, chewing
8354, 5265, 3089, 38, 6.74330428506, chewing
8354, 5265, 3089, 29, 6.9481923847, chewing
6465, 5265, 1200, 23, 5.74403633754, chewing
6657, 5265, 1392, 24, 5.95069821629, chewing
7841, 5505, 2336, 27, 6.04375981074, chewing
8145, 5505, 2640, 31, 6.45486818373, chewing
8145, 5553, 2592, 24, 6.50922560116, chewing
7393, 5553, 1840, 24, 5.44100041729, chewing
7697, 5553, 2144, 27, 5.99408407059, chewing
7985, 6449, 1536, 29, 6.09711165202, chewing
9666, 6449, 3217, 41, 6.64993534904, chewing
